doc_id,product_id,doc_type,text_content,source_folder
257bfb5c-ef8b-4b9c-8551-5b84363260a7,B09QL3NQHX,specification,"Low Latency- It’s time to up the game and switch to Rockerz 425 wireless headphones that comes equipped with our low latency BEAST Mode, the perfect set up for your gaming sessions.",final_data1_amazon
ccddcad5-ee3e-4b55-ac70-aba763af7fb5,B09QL3NQHX,specification,"Noise Cancelling Calls-With the default ENx tech meant for environmental noise cancellation, you can be heard crystal clear across voice calls. Battery Capacity: 500 mAh",final_data1_amazon
60ca8700-8c30-48ae-aaee-1a9e0f8f2d6c,B09QL3NQHX,specification,"ASAP Charge- Courtesy our ASAP Charge tech, the headphones can fetch a total playtime of up to 10 hours in just 10 min of charging.",final_data1_amazon
7d40b657-654b-4fb2-9bb5-3f03ff571933,B09QL3NQHX,specification,"40MM Drivers- The boAt Signature Sound shines through no matter which genre you play, via the 40mm audio drivers.",final_data1_amazon
9c625d4d-f751-4c97-a9e6-de497f300f6e,B09QL3NQHX,specification,Playback Time- It offers a total playtime of up to 25 hours on a single charge via Type C interface at 60% volume.,final_data1_amazon
17811808-aabf-4011-b8d2-6f8200ba8ff0,B09QL3NQHX,specification,"Connectivity- With the features of Dual Pairing and Bluetooth v5.2, you can be rest assured to enjoy a seamless wireless auditory experience.",final_data1_amazon
d5a8e112-7ebc-4731-b3ca-326b1e8f0871,B09QL3NQHX,specification,"Voice Assistant- You can control playback, pick up calls and command your default voice assistant with ease courtesy the easy-access controls and built-in mic.",final_data1_amazon
6ce5d9cc-0d2e-4037-a2a3-c04854b613e8,B09QL3NQHX,specification,1 year warranty from the date of purchase,final_data1_amazon
3b5e6b42-d91f-4bb9-bfb4-71ffbbcf441d,B09QL3NQHX,description_full,"From the manufacturer
boAt Rockerz 425 Headphones
boAt Rockerz 550 Over Ear Bluetooth Headphones
boAt Rockerz 450 Bluetooth On Ear Headphones
boAt Rockerz 450 Pro Bluetooth On Ear Headphones
boAt Rockerz 551 ANC Hybrid Active Noise Cancellation Over Ear Headphones
boAt Rockerz 460 Wireless Over Ear Headphones
Add to Cart
Add to Cart
Add to Cart
Add to Cart
Add to Cart
Add to Cart
Customer Reviews
3.6 out of 5 stars
3,871
4.0 out of 5 stars
67,219
4.0 out of 5 stars
117,127
4.0 out of 5 stars
19,543
4.0 out of 5 stars
67,219
4.0 out of 5 stars
233
Price
₹1,099.00
₹
1,099
.
00
₹1,599.00
₹
1,599
.
00
₹1,399.00
₹
1,399
.
00
₹1,699.00
₹
1,699
.
00
₹3,999.00
₹
3,999
.
00
₹1,199.00
₹
1,199
.
00
Noise Cancellation
ENx for Clear Calls
Physical Noise Isolation
Physical Noise Isolation
Physical Noise Isolation
ANC & ENx for Clear Calls
ENx for Clear Calls
Playback
25 Hours
20 Hours
15 Hours
70 Hours
100 Hours
30 Hours
ASAP Charge
10 Mins= 100 Mins
NA
NA
10 Mins= 100 Mins
10 Mins= 100 Mins
10 Mins= 100 Mins
Drivers
40mm
50mm
40mm
40mm
40mm
40mm
Beast Mode(Low Latency)
✓
NA
NA
NA
NA
✓",final_data1_amazon
f2b3fb57-1efd-4fb3-b1d0-8cf505fcd5a6,B07PR1CL3S,specification,Playback- It provides a massive battery backup of upto 15 hours for a superior playback time. Charging Time : 3 Hours,final_data1_amazon
ccae8dc7-45bf-4640-9211-524819cf383e,B07PR1CL3S,specification,Drivers- Its 40mm dynamic drivers help pump out immersive HD audio all day long.,final_data1_amazon
a7ebfd6a-1f37-4215-a069-6f9ae86e87b9,B07PR1CL3S,specification,Earcushions- It has been ergonomically designed and structured as an on-ear headphone to provide the best user experience with its comfortable padded earcushions and lightweight design,final_data1_amazon
0ff0211f-251f-4b5d-9169-a75397978d6e,B07PR1CL3S,specification,"Controls- You can control your music without hiccups using the easy access controls, communicate seamlessly using the built-in mic, access voice assistant and always stay in the zone",final_data1_amazon
fd3aab21-3c1a-451f-8e24-640bbe81cc08,B07PR1CL3S,specification,"Dual Modes- One can connect to boAt Rockerz 450 via not one but two modes, Bluetooth as well as AUX",final_data1_amazon
f4be7b7b-4cb1-41a9-9e70-2017299361a0,B07PR1CL3S,description_full,"From the manufacturer
Previous page
Next page
Previous page
Next page
PICK YOUR VIBE
Rockerz 450
Add to Cart
Rockerz 450 Pro
Add to Cart
Rockerz 550
Add to Cart
Rockerz 425
Add to Cart
Rockerz 551 ANC
Add to Cart
Rockerz 460
Add to Cart
Customer Reviews
4.0 out of 5 stars
117,127
4.0 out of 5 stars
19,543
4.0 out of 5 stars
67,219
3.6 out of 5 stars
3,871
4.0 out of 5 stars
67,219
4.0 out of 5 stars
233
Price
₹1,399.00
₹
1,399
.
00
₹1,699.00
₹
1,699
.
00
₹1,599.00
₹
1,599
.
00
₹1,099.00
₹
1,099
.
00
₹3,999.00
₹
3,999
.
00
₹1,199.00
₹
1,199
.
00
Noise Cancellation
Physical Noise Isolation
Physical Noise Isolation
Physical Noise Isolation
ENx for Clear Calls
ANC & ENx for Clear Calls
ENx for Clear Calls
Playback
15 Hours
70 Hours
20 Hours
25 Hours
100 Hours
30 Hours
ASAP Charge
NA
10 Mins= 10 Hours
NA
10 Mins= 10 Hours
10 Mins= 10 Hours
NA
Drivers
40mm
40mm
50mm Drivers
40mm
40mm
40mm
Beast Mode(Low Latency)
✘
✘
✘
✔
✘
✔",final_data1_amazon
a486d5a5-ab1e-4a3f-a5f8-b884c5c3cf12,B09R24JBYV,specification,The earphone comes with a snug fit providing utmost comfort while wearing them regularly. Connect the 3.5mm jack to the phone and wait for a few seconds for the product to get sync with the phone. Water Resistant : Yes,final_data1_amazon
08626ad2-2dbb-4c1b-bd65-bbcb99727e91,B09R24JBYV,specification,The snug-fit also ensures a passive noise cancellation so that you can bask in the pure audio experience.,final_data1_amazon
724b78f4-fcec-483b-ba74-dbadc8146455,B09R24JBYV,specification,Impedance 16 Ω,final_data1_amazon
e808d60e-c6ec-4567-ad47-c1ef9c6085a9,B09R24JBYV,specification,Frequency response 20Hz-20kHz,final_data1_amazon
634d44b8-a114-4509-bf81-575052d4f6d6,B09R24JBYV,specification,Cable length 1.2m,final_data1_amazon
35b72670-7d89-4e3b-ba3b-57eadc46f17f,B09R24JBYV,specification,Country of Origin: China,final_data1_amazon
da72bef3-e785-4290-ae39-a12a6eb76699,B09R24JBYV,description_full,"From the manufacturer
Multi-compatibility
The ZEB-Bro headphones are compatible with mobile phones, tablets, and laptops.
Thumping bass
To give you a beat-pounding experience, these headphones produce deep bass.",final_data1_amazon
