text_chunk_id,product_id,original_doc_id,source_file,text_type,aspect,sentiment,text_content,highlight,image_filename
chunk_b9fd7d53-1e99-47d2-92ce-731f8fe3db60,B09QL3NQHX,d076f330-55c7-4cf5-a2f1-0b53f60b77ce,customer_reviews.csv,aspect_summary,Sound quality,Positive,"Customers praise the headphones' sound quality, with good voice and bass performance, and one customer noting reliable noise cancellation.",,
chunk_dd0be390-8c3b-43c4-b583-01270e534641,B09QL3NQHX,d076f330-55c7-4cf5-a2f1-0b53f60b77ce,customer_reviews.csv,review_snippet,Sound quality,Positive,"""...Audio separation is good Upto date features Mic quality is decent for indoor use Charges quickly Handy control buttons...""",Mic quality is decent for indoor use,
chunk_9d7e9bc6-3d41-42a3-95c2-f3f84ff37097,B09QL3NQHX,d076f330-55c7-4cf5-a2f1-0b53f60b77ce,customer_reviews.csv,review_snippet,Sound quality,Positive,"""...💸 Here’s why : 🎵 Sound Quality : The deep bass is impressive, making music, calls, and podcasts sound great....""",Sound Quality,
chunk_563bf370-0568-4a95-9b67-ade904ba31d5,B09QL3NQHX,d076f330-55c7-4cf5-a2f1-0b53f60b77ce,customer_reviews.csv,review_snippet,Sound quality,Positive,"""...it for playing games mostly and there is almost no voice leak, bass is good mic i didnt test but chatgpt said it was better than most and design is...""",bass is good mic,
chunk_de79e569-ed3a-4984-b762-6f3d57e5ae79,B09QL3NQHX,792efe47-d4ae-40b9-b22e-71791becfa97,customer_reviews.csv,aspect_summary,Battery life,Positive,"Customers are satisfied with the headphones' battery life, noting its top-notch performance and high capacity, with one customer mentioning it still has 30% charge remaining.",,
chunk_015b0b02-d36b-494d-a52b-360301940741,B09QL3NQHX,792efe47-d4ae-40b9-b22e-71791becfa97,customer_reviews.csv,review_snippet,Battery life,Positive,"""...🔋 Battery Life : Up to 15 hours of playtime means you don’t have to worry about constant charging....""",Battery Life,
chunk_cecac6b6-0bc2-4c75-ba97-3e0b6dec231d,B09QL3NQHX,792efe47-d4ae-40b9-b22e-71791becfa97,customer_reviews.csv,review_snippet,Battery life,Positive,"""...it's adjustable to 4 cm each side and overall everything good battery life also excellent """,good battery life also excellent,
chunk_fa807830-5441-4e28-89d6-173798b87e98,B09QL3NQHX,792efe47-d4ae-40b9-b22e-71791becfa97,customer_reviews.csv,review_snippet,Battery life,Positive,"""Pros - good sound , battery life and calling is also good Cons - less comfortable pain in ear after 30 min of use...""",battery life,
chunk_1c88f63d-d786-4567-8f3b-85914521ad96,B09QL3NQHX,e7e20ab0-33f0-46d5-b39f-8478b5a49341,customer_reviews.csv,aspect_summary,Build quality,Mixed,"Customers have mixed opinions about the headphones' build quality, with some finding them very good while others describe them as average.",,
chunk_711d1f07-38ab-45e7-a460-169d0b8c25c3,B09QL3NQHX,e7e20ab0-33f0-46d5-b39f-8478b5a49341,customer_reviews.csv,review_snippet,Build quality,Mixed,"""...Despite minor sound leakage, they are a solid choice for those seeking quality over-the-ear wireless headphones without breaking the bank.""",solid choice,
